iter	F1	Logloss
0	0.8371973255	0.6805783947
1	0.8432349605	0.6680744465
2	0.8419178477	0.6585730944
3	0.8391431154	0.6496471414
4	0.8391431154	0.640975445
5	0.8391431154	0.6327866791
6	0.8391431154	0.6238711044
7	0.8391431154	0.6151378138
8	0.8391431154	0.6080181253
9	0.8391431154	0.6015719303
10	0.8391431154	0.5962189574
11	0.8391431154	0.5908214502
12	0.8405281916	0.5854248504
13	0.8405281916	0.5791173199
14	0.8405281916	0.5743274957
15	0.8405281916	0.5687775752
16	0.8405281916	0.5645790228
17	0.8405281916	0.5596443207
18	0.8405281916	0.556658075
19	0.8405281916	0.5508785357
20	0.8405281916	0.5450098321
21	0.8391431154	0.5407988719
22	0.8391431154	0.5383696959
23	0.8405281916	0.5345291185
24	0.8405281916	0.5308811023
25	0.8405281916	0.5289482919
26	0.8405281916	0.5264670583
27	0.8405281916	0.5259984779
28	0.8405281916	0.5216165098
29	0.8405281916	0.518631528
30	0.8405281916	0.5160407584
31	0.8405281916	0.5140782169
32	0.8405281916	0.5135649271
33	0.8405281916	0.5087630097
34	0.8405281916	0.5060809349
35	0.8405281916	0.5039887966
36	0.8405281916	0.5029025268
37	0.8405281916	0.501102292
38	0.8405281916	0.5001673207
39	0.8405281916	0.4996825086
40	0.8405281916	0.4991447656
41	0.8405281916	0.4970825532
42	0.8405281916	0.4950118474
43	0.8405281916	0.4941127011
44	0.8405281916	0.4926967999
45	0.8405281916	0.4925466764
46	0.8405281916	0.4911079228
47	0.8405281916	0.4892293047
48	0.8405281916	0.4873920168
49	0.8405281916	0.4863698796
50	0.8405281916	0.4848048899
51	0.8405281916	0.482959755
52	0.8405281916	0.4827007591
53	0.8405281916	0.4808599331
54	0.8405281916	0.478801737
55	0.8419178477	0.4772971505
56	0.8419178477	0.4772258744
57	0.8419178477	0.475668035
58	0.8419178477	0.4740654145
59	0.8419178477	0.4720130855
60	0.8419178477	0.4695953466
61	0.8419178477	0.4670652826
62	0.8419178477	0.4668484344
63	0.8419178477	0.4663402331
64	0.8419178477	0.4646739946
65	0.8419178477	0.4644663147
66	0.8419178477	0.4633148935
67	0.8419178477	0.4619759941
68	0.8419178477	0.4603091855
69	0.8419178477	0.4598754694
70	0.8419178477	0.4595621223
71	0.8419178477	0.4590026206
72	0.8419178477	0.4585042326
73	0.8419178477	0.4577226644
74	0.8419178477	0.4569489103
75	0.8419178477	0.4569303754
76	0.8419178477	0.4550187295
77	0.8419178477	0.4548627107
78	0.8419178477	0.4540621681
79	0.8419178477	0.4529870701
80	0.8419178477	0.4519921962
81	0.8419178477	0.4519800362
82	0.8419178477	0.4497649224
83	0.8419178477	0.4495893392
84	0.8419178477	0.4487062885
85	0.8419178477	0.4483314667
86	0.8419178477	0.4468638208
87	0.8419178477	0.4465075969
88	0.8419178477	0.4456596148
89	0.8419178477	0.4445960233
