iter	Passed	Remaining
0	410	246175
1	670	200504
2	748	148997
3	963	143553
4	1209	143977
5	1372	135856
6	1648	139619
7	1887	139674
8	2102	138043
9	2210	130400
10	2283	122280
11	2423	118744
12	2646	119484
13	2885	120792
14	3042	118666
15	3302	120559
16	3475	119185
17	3686	119197
18	3784	115738
19	3997	115930
20	4213	116179
21	4416	116039
22	4559	114382
23	4763	114332
24	4982	114605
25	5126	113178
26	5343	113403
27	5376	109826
28	5569	109654
29	5777	109781
30	5964	109474
31	6148	109141
32	6248	107352
33	6440	107221
34	6650	107358
35	6872	107669
36	6966	106008
37	7158	105871
38	7283	104773
39	7349	102895
40	7441	101459
41	7627	101341
42	7816	101249
43	8002	101120
44	8219	101368
45	8273	99639
46	8504	100064
47	8696	100011
48	8975	100924
49	9226	101491
50	9466	101908
51	9681	102024
52	9779	100934
53	10213	103268
54	10515	104201
55	10782	104744
56	10863	103485
57	11376	106311
58	11728	107541
59	12035	108323
60	12387	109453
61	12726	110431
62	12884	109822
63	13277	111202
64	13647	112325
65	13907	112527
66	14265	113484
67	14597	114202
68	14896	114634
69	15104	114358
70	15319	114143
71	15607	114451
72	15887	114696
73	16171	114949
74	16413	114891
75	16502	113781
76	16768	113891
77	16961	113511
78	17219	113558
79	17496	113728
80	17744	113695
81	17789	112379
82	18042	112382
83	18137	111415
84	18472	111921
85	18572	111002
86	18857	111196
87	19073	110971
88	19313	110892
89	19571	110905
90	19751	110476
91	20051	110719
92	20100	109579
93	20369	109646
94	20600	109510
95	20857	109500
96	21110	109472
97	21340	109316
98	21417	108383
99	21586	107934
100	21829	107849
101	22045	107635
102	22256	107391
103	22290	106306
104	22323	105239
105	22532	105008
106	22757	104855
107	23001	104786
108	23261	104781
109	23513	104739
110	23744	104606
111	23967	104431
112	24174	104184
113	24388	103972
114	24501	103333
115	24723	103155
116	25000	103208
117	25255	103161
118	25485	103013
119	25698	102795
120	25917	102597
121	26162	102507
122	26408	102413
123	26517	101792
124	26740	101612
125	26996	101559
126	27218	101371
127	27433	101160
128	27603	100786
129	27889	100830
130	28102	100609
131	28272	100239
132	28348	99539
133	28506	99134
134	28676	98776
135	28938	98732
136	29151	98519
137	29381	98362
138	29591	98141
139	29792	97890
140	30056	97844
141	30273	97643
142	30445	97297
143	30684	97167
144	30929	97053
145	31143	96844
146	31351	96615
147	31576	96437
148	31814	96298
149	32044	96134
150	32274	95967
151	32431	95588
152	32540	95069
153	32825	95065
154	32970	94658
155	33189	94463
156	33268	93870
157	33497	93707
158	33706	93488
159	33914	93263
160	34131	93065
161	34332	92825
162	34501	92497
163	34714	92289
164	34922	92067
165	35137	91864
166	35354	91668
167	35428	91101
168	35643	90901
169	35851	90683
170	36065	90480
171	36286	90295
172	36514	90124
173	36737	89942
174	37008	89878
175	37331	89934
176	37422	89433
177	37735	89462
178	37828	88970
179	38115	88936
180	38379	88845
181	38638	88740
182	38969	88798
183	39244	88727
184	39515	88641
185	39790	88565
186	40284	88969
187	40592	88957
188	40913	88969
189	41142	88781
190	41392	88637
191	41646	88497
192	41923	88408
193	42195	88305
194	42443	88151
195	42884	88394
196	43144	88259
197	43478	88275
198	43740	88139
199	44080	88160
200	44234	87809
201	44502	87683
202	44772	87559
203	45065	87480
204	45331	87346
205	45588	87193
206	45883	87112
207	46151	86977
208	46451	86902
209	46731	86787
210	47002	86654
211	47281	86534
212	47555	86403
213	47818	86252
214	48098	86130
215	48190	85671
216	48578	85739
217	48903	85693
218	49168	85539
219	49435	85388
220	49698	85229
221	49962	85071
222	50183	84839
223	50653	85024
224	50988	84981
225	51265	84838
226	51595	84779
227	51873	84635
228	52126	84449
229	52528	84501
230	52887	84482
231	53251	84468
232	53623	84463
233	54097	84613
234	54381	84465
235	54579	84181
236	54887	84068
237	55155	83891
238	55420	83710
239	55687	83531
240	55948	83342
241	56190	83124
242	56313	82731
243	56593	82570
244	56863	82393
245	57121	82199
246	57359	81975
247	57620	81784
248	57887	81600
249	58136	81391
250	58436	81252
251	58777	81168
252	59134	81105
253	59308	80790
254	59558	80579
255	59853	80427
256	60089	80197
257	60316	79954
258	60553	79725
259	60869	79599
260	61157	79434
261	61435	79256
262	61771	79152
263	62038	78957
264	62319	78780
265	62683	78708
266	63204	78828
267	63592	78779
268	63927	78662
269	64402	78713
270	64871	78755
271	65227	78656
272	65837	78859
273	66775	79447
274	67471	79739
275	67988	79813
276	68408	79768
277	69052	79981
278	69549	80019
279	70141	80161
280	71015	80618
281	71975	81163
282	72405	81104
283	72920	81137
284	73453	81185
285	73959	81200
286	74379	81117
287	74821	81056
288	75308	81041
